id,適用日,職種,都道府県,労務単価
53,2015/02/01,設備機械工,茨城県,21100
54,2015/02/01,交通誘導警備員A,茨城県,12300
55,2015/02/01,交通誘導警備員B,茨城県,11100
8,2015/02/01,特殊作業員,栃木県,19300
9,2015/02/01,普通作業員,栃木県,16900
10,2015/02/01,軽作業員,栃木県,12500
11,2015/02/01,造園工,栃木県,19300
12,2015/02/01,法面工,栃木県,23300
13,2015/02/01,とび工,栃木県,21900
14,2015/02/01,石工,栃木県,24800
15,2015/02/01,ブロック工,栃木県,22700
16,2015/02/01,電工,栃木県,18900
17,2015/02/01,鉄筋工,栃木県,22700
18,2015/02/01,鉄骨工,栃木県,22200
19,2015/02/01,塗装工,栃木県,23600
20,2015/02/01,溶接工,栃木県,26200
21,2015/02/01,運転手（特殊）,栃木県,19000
22,2015/02/01,運転手（一般）,栃木県,18100
23,2015/02/01,潜かん工,栃木県,26900
24,2015/02/01,潜かん世話役,栃木県,31800
25,2015/02/01,さく岩工,栃木県,24600
26,2015/02/01,トンネル特殊工,栃木県,26500
27,2015/02/01,トンネル作業員,栃木県,22200
28,2015/02/01,トンネル世話役,栃木県,29100
29,2015/02/01,橋りょう特殊工,栃木県,27200
30,2015/02/01,橋りょう塗装工,栃木県,28200
31,2015/02/01,橋りょう世話役,栃木県,30400
32,2015/02/01,土木一般世話役,栃木県,21700
33,2015/02/01,高級船員,栃木県,28900
34,2015/02/01,普通船員,栃木県,21700
35,2015/02/01,潜水士,栃木県,34500
36,2015/02/01,潜水連絡員,栃木県,22600
37,2015/02/01,潜水送気員,栃木県,24300
38,2015/02/01,山林砂防工,栃木県,25500
39,2015/02/01,軌道工,栃木県,41700
40,2015/02/01,型わく工,栃木県,22300
41,2015/02/01,大工,栃木県,23600
42,2015/02/01,左官,栃木県,24300
43,2015/02/01,配管工,栃木県,20300
44,2015/02/01,はつり工,栃木県,22700
45,2015/02/01,防水工,栃木県,25000
46,2015/02/01,板金工,栃木県,24600
47,2015/02/01,タイル工,栃木県,
48,2015/02/01,サッシ工,栃木県,23300
49,2015/02/01,内装工,栃木県,25400
50,2015/02/01,ガラス工,栃木県,22500
51,2015/02/01,建具工,栃木県,21800
52,2015/02/01,ダクト工,栃木県,20000
53,2015/02/01,保温工,栃木県,21000
54,2015/02/01,設備機械工,栃木県,21100
55,2015/02/01,交通誘導警備員A,栃木県,12000
56,2015/02/01,交通誘導警備員B,栃木県,10400
9,2015/02/01,特殊作業員,群馬県,19300
10,2015/02/01,普通作業員,群馬県,17300
