id,開始日,終了日,職種,都道府県,労務単価
328,2015-02-01,2016-01-31,左官,福島県,21700
329,2015-02-01,2016-01-31,配管工,福島県,18700
330,2015-02-01,2016-01-31,はつり工,福島県,20100
331,2015-02-01,2016-01-31,防水工,福島県,21500
332,2015-02-01,2016-01-31,板金工,福島県,21200
333,2015-02-01,2016-01-31,タイル工,福島県,19600
334,2015-02-01,2016-01-31,サッシ工,福島県,22500
335,2015-02-01,2016-01-31,内装工,福島県,21500
336,2015-02-01,2016-01-31,ガラス工,福島県,19100
337,2015-02-01,2016-01-31,建具工,福島県,16400
338,2015-02-01,2016-01-31,ダクト工,福島県,17300
339,2015-02-01,2016-01-31,保温工,福島県,18800
340,2015-02-01,2016-01-31,設備機械工,福島県,17900
341,2015-02-01,2016-01-31,交通誘導警備員A,福島県,12200
342,2015-02-01,2016-01-31,交通誘導警備員B,福島県,10500
343,2015-02-01,2016-01-31,特殊作業員,茨城県,19400
344,2015-02-01,2016-01-31,普通作業員,茨城県,17200
345,2015-02-01,2016-01-31,軽作業員,茨城県,12600
346,2015-02-01,2016-01-31,造園工,茨城県,19400
347,2015-02-01,2016-01-31,法面工,茨城県,21900
348,2015-02-01,2016-01-31,とび工,茨城県,23100
349,2015-02-01,2016-01-31,石工,茨城県,24500
350,2015-02-01,2016-01-31,ブロック工,茨城県,22700
351,2015-02-01,2016-01-31,電工,茨城県,19200
352,2015-02-01,2016-01-31,鉄筋工,茨城県,22800
353,2015-02-01,2016-01-31,鉄骨工,茨城県,21300
354,2015-02-01,2016-01-31,塗装工,茨城県,22600
355,2015-02-01,2016-01-31,溶接工,茨城県,25500
356,2015-02-01,2016-01-31,運転手（特殊）,茨城県,21000
357,2015-02-01,2016-01-31,運転手（一般）,茨城県,17300
358,2015-02-01,2016-01-31,潜かん工,茨城県,26600
359,2015-02-01,2016-01-31,潜かん世話役,茨城県,31600
360,2015-02-01,2016-01-31,さく岩工,茨城県,24500
361,2015-02-01,2016-01-31,トンネル特殊工,茨城県,25800
362,2015-02-01,2016-01-31,トンネル作業員,茨城県,21900
363,2015-02-01,2016-01-31,トンネル世話役,茨城県,28800
364,2015-02-01,2016-01-31,橋りょう特殊工,茨城県,26900
365,2015-02-01,2016-01-31,橋りょう塗装工,茨城県,28000
366,2015-02-01,2016-01-31,橋りょう世話役,茨城県,30100
367,2015-02-01,2016-01-31,土木一般世話役,茨城県,21800
368,2015-02-01,2016-01-31,高級船員,茨城県,28900
369,2015-02-01,2016-01-31,普通船員,茨城県,21700
370,2015-02-01,2016-01-31,潜水士,茨城県,34300
371,2015-02-01,2016-01-31,潜水連絡員,茨城県,22000
372,2015-02-01,2016-01-31,潜水送気員,茨城県,24000
373,2015-02-01,2016-01-31,山林砂防工,茨城県,25500
374,2015-02-01,2016-01-31,軌道工,茨城県,41000
375,2015-02-01,2016-01-31,型わく工,茨城県,22500
376,2015-02-01,2016-01-31,大工,茨城県,23400
377,2015-02-01,2016-01-31,左官,茨城県,24000
